video_name,element,mean,std,skewness,kurtosis,entropy,energy
ant_sym2,ant_temp_diff,2.2734210452628344e-06,0.4005937749607547,-0.0007727945221780069,10.929737010055769,0.7530728956287129,8343130.666020597
ant_sym2,ant_temp_sum,-0.0003278854662000777,0.3915924187817796,-0.0011121835324211726,9.895301737421816,0.7018985433632772,7972407.844898094
ant_sym2,ant_app,-0.05917735747872933,5.41241111159271,0.3936533116557354,1035.1066098419974,0.1820767165049567,1523190144.8371732
duck_sym2,duck_temp_diff,-2.7554198721856127e-05,1.4972585064931312,-0.002189643487069317,10.604714195455957,0.7075802934471115,116550524.22125764
duck_sym2,duck_temp_sum,0.00010726624885300802,1.3740240893687157,-0.005999079603515682,8.798318242667271,0.9720957995795544,98154304.27504621
duck_sym2,duck_app,-0.020824870503895164,37.950847624701986,-0.021421518221337563,8.550438385498719,1.0711736123523454,74879639347.68236
misato_sym2,misato_temp_diff,-3.0694849310387023e-06,0.767037649575502,-0.00026161588735170316,6.756887196378454,0.713140624803108,30588206.672654957
misato_sym2,misato_temp_sum,5.6038805608594104e-05,0.7129168082247425,0.0034380274454684934,7.080024818484869,0.627817015609065,26423988.00791637
misato_sym2,misato_app,-0.07375808475386947,20.07180906444684,-0.12784610434351767,89.4765831388907,0.24492544429993296,20945925346.185276
referee_sym2,referee_temp_diff,2.8720477365334656e-05,1.0685853987946075,-0.028046685310352218,31.671697352536754,0.3394077801845847,59366182.71770061
referee_sym2,referee_temp_sum,0.0010288058403736264,1.0158924116554262,0.08581000499453548,30.720263903500772,0.3808074413885601,53655782.24536803
referee_sym2,referee_app,0.09565080873265723,34.37482566140683,0.29526848029807146,36.10043737357843,0.8796880453389082,61433466779.020836
