video_name,element,mean,std,skewness,kurtosis,entropy,energy
ant_db4,ant_temp_diff,4.323839170575924e-06,0.5943800915426145,0.005960462831773998,5.175489757898617,0.7198371385813966,18843206.067260362
ant_db4,ant_temp_sum,-0.0003140069739858994,0.5891598783712457,-0.00070439755434245,5.148922938792468,0.7930263867103207,18513679.43023796
ant_db4,ant_app,-0.04932815767055637,5.32371234205004,-0.6207808902866644,1086.237787042228,0.5613953914642159,1511794409.126205
duck_db4,duck_temp_diff,3.0791146253628654e-07,1.482225389402079,0.00024277688677906936,7.732656897427608,0.8307800543926754,117180348.351984
duck_db4,duck_temp_sum,8.787221378322517e-05,1.43668650132565,-0.0005150519274328069,7.419450565591928,0.8336425691401409,110090618.75921862
duck_db4,duck_app,-0.042605964931718775,38.96015372239363,-0.03440083125000534,8.766908844752889,0.9136691474998814,80959558548.11668
misato_db4,misato_temp_diff,-5.647080741194825e-06,0.9875713209259547,-0.0004606278172679265,5.377665647777153,0.9008805763523351,52019147.132822596
misato_db4,misato_temp_sum,3.485695403247854e-05,0.8969041140013498,0.005736409911662192,5.817922754232285,0.8670574266084441,42906028.93387132
misato_db4,misato_app,-0.08904976465669935,20.06771203955506,-0.15726476286207708,87.1826459225418,0.25452496744594644,21479816215.697094
referee_db4,referee_temp_diff,-1.3816858722636293e-05,1.1067245820073048,0.008044700397754807,26.227083592556045,0.4739756503796585,65328908.37196081
referee_db4,referee_temp_sum,0.0009590597767730859,1.0673808038545616,0.031696277322197354,27.873957259798043,0.48556569425479124,60766666.83895885
referee_db4,referee_app,0.08284635145670402,34.4319479308656,0.43728029251279654,35.445746874130414,0.47932085697132737,63234194176.41769
